frame_number,timestamp,entered,left,inside
1,2026-04-29 13:33:53,0,0,0
30,2026-04-29 13:38:46,0,0,0
60,2026-04-29 13:38:47,0,0,0
90,2026-04-29 13:38:48,0,0,0
120,2026-04-29 13:38:50,1,0,1
150,2026-04-29 13:38:51,3,0,3
180,2026-04-29 13:38:52,3,0,3
210,2026-04-29 13:38:53,3,0,3
240,2026-04-29 13:38:55,3,0,3
270,2026-04-29 13:38:56,3,0,3
300,2026-04-29 13:38:57,3,0,3
330,2026-04-29 13:38:58,4,0,4
360,2026-04-29 13:39:00,4,0,4
390,2026-04-29 13:39:01,4,0,4
420,2026-04-29 13:39:02,4,0,4
450,2026-04-29 13:39:04,4,0,4
480,2026-04-29 13:39:05,4,0,4
510,2026-04-29 13:39:06,4,0,4
540,2026-04-29 13:39:07,4,0,4
570,2026-04-29 13:39:08,4,0,4
600,2026-04-29 13:39:10,4,0,4
630,2026-04-29 13:39:11,4,0,4
660,2026-04-29 13:39:12,4,0,4
690,2026-04-29 13:39:13,4,0,4
720,2026-04-29 13:39:15,4,0,4
750,2026-04-29 13:39:16,4,0,4
780,2026-04-29 13:39:17,4,0,4
810,2026-04-29 13:39:18,4,0,4
840,2026-04-29 13:39:20,4,0,4
870,2026-04-29 13:39:21,4,0,4
900,2026-04-29 13:39:22,4,0,4
930,2026-04-29 13:39:23,4,0,4
960,2026-04-29 13:39:25,4,0,4
990,2026-04-29 13:39:26,4,0,4
1020,2026-04-29 13:39:27,4,0,4
1050,2026-04-29 13:39:28,4,0,4
1080,2026-04-29 13:39:30,4,0,4
1110,2026-04-29 13:39:31,4,0,4
1140,2026-04-29 13:39:32,4,0,4
1170,2026-04-29 13:39:33,4,0,4
1200,2026-04-29 13:39:35,4,0,4
1230,2026-04-29 13:39:36,4,0,4
1260,2026-04-29 13:39:37,4,0,4
1290,2026-04-29 13:39:39,4,0,4
1320,2026-04-29 13:39:40,4,0,4
1350,2026-04-29 13:39:41,7,0,7
1380,2026-04-29 13:39:43,7,0,7
1410,2026-04-29 13:39:44,7,0,7
1440,2026-04-29 13:39:45,7,0,7
1470,2026-04-29 13:39:46,7,0,7
1500,2026-04-29 13:39:48,8,0,8
1530,2026-04-29 13:39:49,8,0,8
1560,2026-04-29 13:39:50,8,0,8
1590,2026-04-29 13:39:51,8,0,8
1620,2026-04-29 13:39:53,8,0,8
1650,2026-04-29 13:39:54,8,0,8
1680,2026-04-29 13:39:55,8,0,8
1710,2026-04-29 13:39:57,8,0,8
1740,2026-04-29 13:39:58,8,0,8
1770,2026-04-29 13:39:59,8,0,8
1800,2026-04-29 13:40:01,8,0,8
1830,2026-04-29 13:40:02,8,0,8
1860,2026-04-29 13:40:03,8,0,8
1890,2026-04-29 13:40:05,8,0,8
1920,2026-04-29 13:40:06,8,0,8
1950,2026-04-29 13:40:07,8,0,8
1980,2026-04-29 13:40:09,8,0,8
2010,2026-04-29 13:40:10,8,0,8
2040,2026-04-29 13:40:11,8,0,8
2070,2026-04-29 13:40:13,8,0,8
2100,2026-04-29 13:40:14,8,0,8
2130,2026-04-29 13:40:15,8,0,8
2160,2026-04-29 13:40:17,8,0,8
2190,2026-04-29 13:40:18,8,0,8
2220,2026-04-29 13:40:19,8,0,8
2250,2026-04-29 13:40:20,8,0,8
2280,2026-04-29 13:40:22,8,0,8
2310,2026-04-29 13:40:23,8,0,8
2340,2026-04-29 13:40:24,8,0,8
2370,2026-04-29 13:40:26,8,0,8
2400,2026-04-29 13:40:27,8,0,8
