frame,timestamp,id,event,in,out,inside
147,2026-04-30 12:40:18,2,OUT,0,1,-1
477,2026-04-30 12:40:18,6,IN,1,1,0
590,2026-04-30 12:40:18,7,OUT,1,2,-1
909,2026-04-30 12:40:18,10,IN,2,2,0
1164,2026-04-30 12:40:18,10,OUT,2,3,-1
1342,2026-04-30 12:40:18,12,OUT,2,4,-2
1747,2026-04-30 12:40:18,14,OUT,2,5,-3
1773,2026-04-30 12:40:18,15,OUT,2,6,-4
1976,2026-04-30 12:40:18,18,OUT,2,7,-5
2018,2026-04-30 12:40:18,17,OUT,2,8,-6
2084,2026-04-30 12:40:18,20,OUT,2,9,-7
2148,2026-04-30 12:40:18,22,OUT,2,10,-8
2265,2026-04-30 12:40:18,23,OUT,2,11,-9
2419,2026-04-30 12:40:18,27,IN,3,11,-8
2539,2026-04-30 12:40:18,28,OUT,3,12,-9
2686,2026-04-30 12:40:18,29,OUT,3,13,-10
2731,2026-04-30 12:40:18,30,OUT,3,14,-11
3113,2026-04-30 12:40:18,35,IN,4,14,-10
3126,2026-04-30 12:40:18,35,OUT,4,15,-11
3647,2026-04-30 12:40:18,36,OUT,4,16,-12
3780,2026-04-30 12:40:18,39,OUT,4,17,-13
