frame,timestamp,id,event,in,out,inside
149,2026-04-30 17:37:01,2,OUT,0,1,-1
479,2026-04-30 17:37:01,6,IN,1,1,0
592,2026-04-30 17:37:01,7,OUT,1,2,-1
911,2026-04-30 17:37:01,10,IN,2,2,0
1166,2026-04-30 17:37:01,10,OUT,2,3,-1
1344,2026-04-30 17:37:01,12,OUT,2,4,-2
1749,2026-04-30 17:37:01,14,OUT,2,5,-3
1775,2026-04-30 17:37:01,15,OUT,2,6,-4
1978,2026-04-30 17:37:01,18,OUT,2,7,-5
2020,2026-04-30 17:37:01,17,OUT,2,8,-6
2086,2026-04-30 17:37:01,20,OUT,2,9,-7
2150,2026-04-30 17:37:01,22,OUT,2,10,-8
2267,2026-04-30 17:37:01,23,OUT,2,11,-9
2421,2026-04-30 17:37:01,27,IN,3,11,-8
2544,2026-04-30 17:37:01,28,OUT,3,12,-9
2688,2026-04-30 17:37:01,29,OUT,3,13,-10
2733,2026-04-30 17:37:01,30,OUT,3,14,-11
3649,2026-04-30 17:37:01,36,OUT,3,15,-12
3782,2026-04-30 17:37:01,39,OUT,3,16,-13
